Index,Description
0,This is a T2 weighted image of a brain with a glioma tumor.
1,This is a T2 weighted image of a brain with a tumor.
2,This is a T2 weighted image of a brain with a glioma tumor.
3,This is a T1 weighted image of a brain with a tumor.
4,This is a T2 weighted image of a brain with a tumor.
5,This is a T2 weighted image of a brain with a glioma tumor.
6,This is a T2 weighted image of a brain with a tumor.
7,This is a T1 weighted image of a brain with a tumor.
8,This is a T1 weighted image of a brain with a glioblastoma tumor.
9,This is a T1 weighted image of a brain with a tumor.
10,This is a T2 weighted image of a brain with a meningioma tumor.
11,This is a T2 weighted image of a brain with a cystic tumor.
12,This is a T2 weighted image of a brain with a glioma tumor.
13,This is a T2 weighted image of a brain with a tumor.
14,This is a T2 weighted image of a brain with a cystic lesion.
15,This is a T2 weighted image of a brain with a tumor.
16,This is a T2 weighted image of a brain with a tumor.
17,This is a T2 weighted image of a brain with a cystic tumor.
18,This is a T2 weighted image of a brain with a glioma tumor.
19,This is a T2 weighted image of a brain with a glioma tumor.
20,This is a T1 weighted image of a brain with a tumor.
21,This is a T1 weighted image of a brain with a tumor.
22,This is a T2 weighted image of a brain with a tumor.
23,This is a T2 weighted image of a brain with a tumor.
24,This is a T2 weighted image of a brain with a tumor.
25,This is a T1 weighted image of a brain with a tumor.
26,This is a T1 weighted image of a brain with a tumor.
27,This is a T1 weighted image of a brain with a tumor.
28,This is a T1 weighted image of a brain with a tumor.
29,This is a T1 weighted image of a brain with a tumor.
30,This is a T1 weighted image of a brain with a tumor.
31,This is a T1 weighted image of a brain with a tumor.
32,This is a T2 weighted image of a brain with a tumor.
33,This is a T2 weighted image of a brain with a tumor.
34,This is a T2 weighted image of a brain with a glioma tumor.
35,This is a T2 weighted image of a brain with a tumor.
36,This is a T2 weighted image of a brain with a glioma tumor.
37,This is a T1 weighted image of a brain with a tumor.
38,This is a T1 weighted image of a brain with a tumor.
39,This is a T1 weighted image of a brain with a glioma tumor.
40,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
41,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
42,This is a T1 weighted image of a brain with a meningioma tumor.
43,This is a T1 weighted image of a brain with a tumor.
44,This is a T2 weighted image of a brain with a glioma tumor.
45,This is a T2 weighted image of a brain with a glioma tumor.
46,This is a T2 weighted image of a brain with a cystic tumor.
47,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
48,This is a T2 weighted image of a brain with a tumor.
49,This is a T1 weighted image of a brain with a tumor.
50,This is a T1 weighted image of a brain with a tumor.
51,This is a T1 weighted image of a brain with a tumor.
52,This is a T2 weighted image of a brain with a tumor.
53,This is a T2 weighted image of a brain with a tumor.
54,This is a T2 weighted image of a brain with a tumor.
55,This is a T2 weighted image of a brain with a tumor.
56,This is a T1 weighted image of a brain with a glioblastoma tumor.
57,This is a T1 weighted image of a brain with a tumor.
58,This is a T1 weighted image of a brain with a tumor.
59,This is a T1 weighted image of a brain with a tumor.
60,This is a T2 weighted image of a brain with a tumor.
61,This is a T1 weighted image of a brain with a tumor.
62,This is a T1 weighted image of a brain with glioma tumor.
63,This is a T1 weighted image of a brain with a tumor.
64,This is a T1 weighted image of a brain with a tumor.
65,This is a T1 weighted image of a brain with a tumor.
66,This is a T1 weighted image of a brain with a tumor.
67,This is a T2 weighted image of a brain with a meningioma tumor.
68,This is a T1 weighted image of a brain with a tumor.
69,This is a T1 weighted image of a brain with a tumor.
70,This is a T2 weighted image of a brain with a tumor.
71,This is a T2 weighted image of a brain with a tumor.
72,This is a T1 weighted image of a brain with a tumor.
73,This is a T1 weighted image of a brain with a tumor.
74,This is a T1 weighted image of a brain with a tumor.
75,This is a T1 weighted image of a brain with a tumor.
76,This is a T1 weighted image of a brain with a tumor.
77,This is a T1 weighted image of a brain with a meningioma tumor.
78,This is a T2 weighted image of a brain with a glioma tumor.
79,This is a T2 weighted image of a brain with a tumor.
80,This is a T1 weighted image of a brain with a pituitary tumor.
81,This is a T2 weighted image of a brain with a tumor.
82,This is a T2 weighted image of a brain with a tumor.
83,This is a T2 weighted image of a brain with a glioma tumor.
84,This is a T2 weighted image of a brain with a tumor.
85,This is a T1 weighted image of a brain with a tumor.
86,This is a T2 weighted image of a brain with a cystic lesion.
87,This is a T2 weighted image of a brain with a tumor.
88,This is a T2 weighted image of a brain with a tumor.
89,This is a T2 weighted image of a brain with a glioma tumor.
90,This is a T2 weighted image of a brain with a tumor.
91,This is a T1 weighted image of a brain with a tumor.
92,This is a T2 weighted image of a brain with a tumor.
93,This is a T2 weighted image of a brain with a tumor.
94,This is a T2 weighted image of a brain with a tumor.
95,This is a T2 weighted image of a brain with a tumor.
96,This is a T2 weighted image of a brain with a tumor.
97,This is a T2 weighted image of a brain with a tumor.
98,This is a T1 weighted image of a brain with a tumor.
99,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
100,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
101,This is a T1 weighted image of a brain with a meningioma tumor.
102,This is a T1 weighted image of a brain with a meningioma tumor.
103,This is a T1 weighted image of a brain with a tumor.
104,This is a T1 weighted image of a brain with a tumor.
105,This is a T2 weighted image of a brain with a tumor.
106,This is a T2 weighted image of a brain with a tumor.
107,This is a T2 weighted image of a brain with a tumor.
108,This is a T1 weighted image of a brain with a glioma tumor.
109,This is a T2 weighted image of a brain with a tumor.
110,This is a T2 weighted image of a brain with a cystic tumor.
111,This is a T1 weighted image of a brain with a tumor.
112,This is a T2 weighted image of a brain with a glioma tumor.
113,This is a T2 weighted image of a brain with a cystic lesion.
114,This is a T2 weighted image of a brain with a cystic tumor.
115,This is a T2 weighted image of a brain with a cystic tumor.
116,This is a T2 weighted image of a brain with a tumor.
117,This is a T2 weighted image of a brain with a tumor.
118,This is a T2 weighted image of a brain with a cystic lesion.
119,This is a T2 weighted image of a brain with a tumor.
120,This is a T2 weighted image of a brain with a cystic tumor.
121,This is a T2 weighted image of a brain with a cystic tumor.
122,This is a T2 weighted image of a brain with a tumor.
123,This is a T1 weighted image of a brain with a glioma tumor.
124,This is a T1 weighted image of a brain with a tumor.
125,This is a T1 weighted image of a brain with a tumor.
126,This is a T1 weighted image of a brain with a tumor.
127,This is a T1 weighted image of a brain with a cystic tumor.
128,This is a T1 weighted image of a brain with a cystic lesion.
129,This is a T1 weighted image of a brain with a cystic tumor.
130,This is a T1 weighted image of a brain with a cystic tumor.
131,This is a T1 weighted image of a brain with a cystic tumor.
132,This is a T1 weighted image of a brain with a cystic tumor.
133,This is a T1 weighted image of a brain with a tumor.
134,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
135,This is a T2 weighted image of a brain with a tumor.
136,This is a T1 weighted image of a brain with a tumor.
137,This is a T1 weighted image of a brain with a tumor.
138,This is a T1 weighted image of a brain with a cystic tumor.
139,This is a T2 weighted image of a brain with a cystic lesion.
140,This is a T2 weighted image of a brain with a glioma tumor.
141,This is a T2 weighted image of a brain with a cystic lesion.
142,This is a T2 weighted image of a brain with a cystic tumor.
143,This is a T1 weighted image of a brain with a cystic tumor.
144,This is a T2 weighted image of a brain with a cystic tumor.
145,This is a T2 weighted image of a brain with a tumor.
146,This is a T1 weighted image of a brain with a tumor.
147,This is a T1 weighted image of a brain with a tumor.
148,This is a T1 weighted image of a brain with a cystic tumor.
149,This is a T2 weighted image of a brain with a tumor.
150,This is a T2 weighted image of a brain with a tumor.
151,This is a T2 weighted image of a brain with a tumor.
152,This is a T2 weighted image of a brain with a tumor.
153,This is a T2 weighted image of a brain with glioma tumor.
154,This is a T2 weighted image of a brain with glioma tumor.
155,This is a T1 weighted image of a brain with a meningioma tumor.
156,This is a T2 weighted image of a brain with a glioma tumor.
157,This is a T1 weighted image of a brain with a tumor.
158,This is a T2 weighted image of a brain with a tumor.
159,This is a T2 weighted image of a brain with a tumor.
160,This is a T2 weighted image of a brain with a tumor.
161,This is a T1 weighted image of a brain with a tumor.
162,This is a T1 weighted image of a brain with a tumor.
163,This is a T1 weighted image of a brain with a glioblastoma tumor.
164,This is a T1 weighted image of a brain with a glioblastoma tumor.
165,This is a T1 weighted image of a brain with a tumor.
166,This is a T1 weighted image of a brain with a cystic lesion.
167,This is a T2 weighted image of a brain with a glioma tumor.
168,This is a T1 weighted image of a brain with a tumor.
169,This is a T1 weighted image of a brain with a tumor.
170,This is a T1 weighted image of a brain with a tumor.
171,This is a T1 weighted image of a brain with a tumor.
172,This is a T1 weighted image of a brain with a tumor.
173,This is a T1 weighted image of a brain with a tumor.
174,This is a T1 weighted image of a brain with a tumor.
175,This is a T2 weighted image of a brain with a glioma tumor.
176,This is a T2 weighted image of a brain with a glioblastoma multiforme tumor.
177,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
178,This is a T2 weighted image of a brain with a glioma tumor.
179,This is a T1 weighted image of a brain with a cystic tumor.
180,This is a T2 weighted image of a brain with a cystic tumor.
181,This is a T1 weighted image of a brain with a tumor.
182,This is a T1 weighted image of a brain with a tumor.
183,This is a T1 weighted image of a brain with a tumor.
184,This is a T2 weighted image of a brain with a tumor.
185,This is a T2 weighted image of a brain with a tumor.
186,This is a T2 weighted image of a brain with a glioma tumor.
187,This is a T2 weighted image of a brain with a meningioma tumor.
188,This is a T1 weighted image of a brain with a tumor.
189,This is a T1 weighted image of a brain with a tumor.
190,This is a T1 weighted image of a brain with a cystic tumor.
191,This is a T1 weighted image of a brain with a glioma tumor.
192,This is a T1 weighted image of a brain with a glioma tumor.
193,This is a T2 weighted image of a brain with a glioma tumor.
194,This is a T2 weighted image of a brain with a tumor.
195,This is a T2 weighted image of a brain with a glioma tumor.
196,This is a T2 weighted image of a brain with a glioma tumor.
197,This is a T2 weighted image of a brain with a tumor.
198,This is a T2 weighted image of a brain with a tumor.
199,This is a T2 weighted image of a brain with a tumor.
200,This is a T2 weighted image of a brain with a tumor.
201,This is a T1 weighted image of a brain with a tumor.
202,This is a T2 weighted image of a brain with a meningioma tumor.
203,This is a T2 weighted image of a brain with a meningioma tumor.
204,This is a T1 weighted image of a brain with a tumor.
205,This is a T1 weighted image of a brain with a meningioma tumor.
206,This is a T2 weighted image of a brain with a meningioma tumor.
207,This is a T2 weighted image of a brain with a tumor.
208,This is a T1 weighted image of a brain with a tumor.
209,This is a T2 weighted image of a brain with a glioma tumor.
210,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
211,This is a T1 weighted image of a brain with a meningioma tumor.
212,This is a T2 weighted image of a brain with a tumor.
213,This is a T2 weighted image of a brain with glioma tumor.
214,This is a T2 weighted image of a brain with a glioma tumor.
215,This is a T2 weighted image of a brain with a glioma tumor.
216,This is a T2 weighted image of a brain with glioblastoma multiforme tumor.
217,This is a T2 weighted image of a brain with a tumor.
218,This is a T2 weighted image of a brain with a tumor.
219,This is a T2 weighted image of a brain with a glioma tumor.
220,This is a T1 weighted image of a brain with a tumor.
221,This is a T2 weighted image of a brain with a glioma tumor.
222,This is a T2 weighted image of a brain with a glioma tumor.
223,This is a T1 weighted image of a brain with a tumor.
224,This is a T2 weighted image of a brain with a tumor.
225,This is a T1 weighted image of a brain with a glioblastoma multiforme tumor.
226,This is a T1 weighted image of a brain with a tumor.
227,This is a T1 weighted image of a brain with a tumor.
228,This is a T2 weighted image of a brain with a meningioma tumor.
